Rowname,Crude_protein,Crude_lipid,Ash ,Energy,Feed_spill,Ag,Cr,As,Cd,Hg,Pb,Ni,Co,Mo,Se,V,Cu,Fe,Mn,Zn,Nonessential,Essential,Essential2,SumDioxinsPCB,SumPCB6,SumPBDE
1,28.56,7.1,20.09,18.73,36.34,0.04,11,2.5,0.65,0.05,0.63,14,1.8,3.9,1.9,3.2,33,720,280,620,17.83,21.8,1653,1.15,2.35,0.34
2,15.82,3.86,23.16,16.23,13.35,0.01,3.8,0.67,0.38,0.02,0.34,3.8,0.23,2,0.53,0.98,16,690,140,320,5.21,7.54,1166,0.269,0.853,0.234
3,26.72,7.5,18.07,18.28,32.15,0.02,6.5,2.8,0.92,0.03,0.56,7.2,0.7,2.6,1.7,4,18,440,240,630,11.51,15.5,1328,0.503,1.16,0.248
4,4.73,1.48,3.89,18.07,30.22,0.02,7.8,1,0.41,0.03,1.4,13,0.7,3,0.77,2.7,20,280,240,410,15.84,14.97,950,0.359,0.842,0.289
5,18.39,5.77,14.71,17.2,22.23,0.03,5.3,1,0.41,0.09,1.3,12,0.68,2.6,0.83,2.7,20,340,240,410,14.8,12.11,1010,0.358,0.895,0.293
6,21.84,9.16,11.79,19.19,40.52,0.01,3.1,0.89,0.27,0.03,0.64,2.5,0.45,1.9,0.65,1.5,17,380,170,330,4.33,7.6,897,0.376,1.18,0.323
7,32.31,14.28,24.02,17.48,24.86,0.03,82,2.9,1.1,0.05,5.6,51,1.5,13,1.8,2.8,420,820,260,770,60.65,101.1,2270,1.47,4.05,1.05
8,36.93,10.09,16.9,19.07,39.47,0.03,2.5,2.8,0.82,0.05,0.52,3.8,0.6,1.7,1.7,1.8,26,480,220,510,7.99,8.3,1236,0.246,1.09,0.235
9,42.78,16.82,12.71,21.26,59.55,0.05,3.8,1.4,0.25,0.03,0.41,2.1,0.71,2.2,1.5,9.7,13,550,130,340,4.19,17.91,1033,1.52,4.78,0.934
10,44.03,17.66,12.12,21.76,64.18,0.01,3.6,1.4,0.26,0.02,0.28,1.9,0.86,2.3,1.5,10,12,400,140,320,3.86,18.26,872,,,
11,26.81,13.17,20.2,16.64,17.13,0.06,4.6,2.1,0.51,0.04,0.5,2.8,0.55,2.7,1.7,4.5,25,1000,330,600,5.95,14.05,1955,1.01,4.38,1.8
12,28.34,7.03,32.24,15.81,9.42,0.03,14,3.3,0.7,0.04,1.4,19,0.72,4,1.9,6.3,14,900,750,540,24.44,26.92,2204,0.771,4.01,0.306
13,42.52,21.41,25.8,20.25,50.32,0.02,5.9,2.2,0.4,0.07,0.2,4.3,0.36,2.3,1.2,2.1,25,840,270,450,7.17,11.86,1585,1.47,4.95,0.511
14,27.97,16.39,21.36,19.56,43.92,0.02,4.9,2.2,0.41,0.07,0.21,8.1,0.39,2.1,1.2,2.2,23,470,240,430,10.99,10.79,1163,1.32,3.79,0.462
15,24.37,7.51,21.98,17,20.44,0.03,3.9,2.3,0.53,0.04,0.4,3.5,0.6,2.2,1.3,2.9,18,310,290,620,6.77,10.9,1238,0.529,1.11,0.246
16,24.88,9.89,18.73,16.86,19.09,0.02,3.2,2.1,0.53,0.05,0.43,3,0.57,2.1,1.3,2.6,15,1200,240,560,6.11,9.77,2015,0.785,6.21,2.31
17,20.9,9.94,21.85,16.37,14.56,0.02,4.1,2.4,0.39,0.03,0.49,2.6,0.54,1.9,1.4,1.9,18,390,320,420,5.91,9.84,1148,0.738,3.01,0.926
18,25.04,4.95,19.51,15.76,9.03,0.02,6.3,2.2,0.47,0.04,4.7,4.5,1.2,2.4,1.3,3.2,16,390,300,560,11.91,14.4,1266,0.577,1.44,0.534
19,56.95,9.67,10.69,20.44,52.08,0.1,1,2,0.31,0.07,0.1,2.1,0.4,2.4,2.4,1,13,660,100,440,4.58,7.2,1213,,,
20,26.21,7.38,21.9,16.07,11.89,0.1,4,1.6,0.47,0.07,0.77,3,0.55,3.3,1.9,7.4,15,1100,140,380,5.91,17.15,1635,0.75,0.83,0.285
21,23.89,3.42,20.05,16.38,14.68,0.1,2.2,0.6,0.54,0.07,0.23,3,0.32,2,1,1.3,14,750,240,510,4.44,6.82,1514,,,
22,20.04,2.79,26.6,NA,22.62,0.1,6.2,1.5,1.6,0.09,0.49,4.4,0.75,4.5,2.1,4,27,1400,620,1100,8.08,17.55,3147,,,
23,20.35,1.73,21.84,17.24,28.72,0.05,5,1,0.96,0.03,5,3.2,1.3,4.7,3.2,4,17,2500,170,580,10.19,18.2,3267,,,
24,28.31,7.79,19.06,17.9,31.49,0.05,5,1,0.96,0.03,5,3,1.2,5.1,3,3,16,2200,140,570,9.99,17.3,2926,0.658,1.79,0.275
25,33.03,9.57,19.49,18.21,5.79,0.06,5,3,1.2,0.04,3,4.4,1.3,3.5,3.1,3,25,2300,230,590,11.64,15.9,3145,0.565,1.83,0.439
26,32.23,16.37,28.47,15.41,41.07,0.1,3,2,0.91,0.04,0.5,2.9,0.9,2.5,2.2,2,15,1800,130,410,6.35,10.6,2355,,,
